[2026-05-31T06:12:49.025Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Failed+to+create+WebGL+context%3A+Could+not+create+a+WebGL+context%2C+VENDOR+%3D+0xffff%2C+DEVICE+%3D+0xffff%2C+GL_VENDOR+%3D+Google+Inc.+%28Google%29%2C+GL_RENDERER+%3D+ANGLE+%28Google%2C+Vulkan+1.3.0+%28SwiftShader+Device+%28LLVM+10.0.0%29+%280x0000C0DE%29%29%2C+SwiftShader+driver-5.0.0%29%2C+GL_VERSION+%3D+5.0.0%2C+Sandboxed+%3D+yes%2C+Optimus+%3D+no%2C+AMD+switchable+%3D+no%2C+Reset+notification+strategy+%3D+0x8252%2C+ErrorMessage+%3D+BindToCurrentSequence+failed%3A+.&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40luma.gl%2Fcore%2Fdist%2Fadapter%2Fluma.js&methodName=async+Luma.createDevice&arguments=&lineNumber=69&column=16 → pending (?ms, ?B)
[2026-05-31T06:12:49.138Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Failed+to+create+WebGL+context%3A+Could+not+create+a+WebGL+context%2C+VENDOR+%3D+0xffff%2C+DEVICE+%3D+0xffff%2C+GL_VENDOR+%3D+Google+Inc.+%28Google%29%2C+GL_RENDERER+%3D+ANGLE+%28Google%2C+Vulkan+1.3.0+%28SwiftShader+Device+%28LLVM+10.0.0%29+%280x0000C0DE%29%29%2C+SwiftShader+driver-5.0.0%29%2C+GL_VERSION+%3D+5.0.0%2C+Sandboxed+%3D+yes%2C+Optimus+%3D+no%2C+AMD+switchable+%3D+no%2C+Reset+notification+strategy+%3D+0x8252%2C+ErrorMessage+%3D+BindToCurrentSequence+failed%3A+.&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40luma.gl%2Fengine%2Fdist%2Fanimation-loop%2Fanimation-loop.js&methodName=async+AnimationLoop._initDevice&arguments=&lineNumber=345&column=23 → pending (?ms, ?B)
[2026-05-31T06:12:49.478Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Failed+to+create+WebGL+context%3A+Could+not+create+a+WebGL+context%2C+VENDOR+%3D+0xffff%2C+DEVICE+%3D+0xffff%2C+GL_VENDOR+%3D+Google+Inc.+%28Google%29%2C+GL_RENDERER+%3D+ANGLE+%28Google%2C+Vulkan+1.3.0+%28SwiftShader+Device+%28LLVM+10.0.0%29+%280x0000C0DE%29%29%2C+SwiftShader+driver-5.0.0%29%2C+GL_VERSION+%3D+5.0.0%2C+Sandboxed+%3D+yes%2C+Optimus+%3D+no%2C+AMD+switchable+%3D+no%2C+Reset+notification+strategy+%3D+0x8252%2C+ErrorMessage+%3D+BindToCurrentSequence+failed%3A+.&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40luma.gl%2Fengine%2Fdist%2Fanimation-loop%2Fanimation-loop.js&methodName=async+AnimationLoop.start&arguments=&lineNumber=113&column=17 → pending (?ms, ?B)
[2026-05-31T06:12:49.507Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Failed+to+create+WebGL+context%3A+Could+not+create+a+WebGL+context%2C+VENDOR+%3D+0xffff%2C+DEVICE+%3D+0xffff%2C+GL_VENDOR+%3D+Google+Inc.+%28Google%29%2C+GL_RENDERER+%3D+ANGLE+%28Google%2C+Vulkan+1.3.0+%28SwiftShader+Device+%28LLVM+10.0.0%29+%280x0000C0DE%29%29%2C+SwiftShader+driver-5.0.0%29%2C+GL_VERSION+%3D+5.0.0%2C+Sandboxed+%3D+yes%2C+Optimus+%3D+no%2C+AMD+switchable+%3D+no%2C+Reset+notification+strategy+%3D+0x8252%2C+ErrorMessage+%3D+BindToCurrentSequence+failed%3A+.&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40luma.gl%2Fwebgl%2Fdist%2Fcontext%2Fhelpers%2Fcreate-browser-context.js&methodName=createBrowserContext&arguments=&lineNumber=57&column=19 → pending (?ms, ?B)
[2026-05-31T06:12:49.521Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Failed+to+create+WebGL+context%3A+Could+not+create+a+WebGL+context%2C+VENDOR+%3D+0xffff%2C+DEVICE+%3D+0xffff%2C+GL_VENDOR+%3D+Google+Inc.+%28Google%29%2C+GL_RENDERER+%3D+ANGLE+%28Google%2C+Vulkan+1.3.0+%28SwiftShader+Device+%28LLVM+10.0.0%29+%280x0000C0DE%29%29%2C+SwiftShader+driver-5.0.0%29%2C+GL_VERSION+%3D+5.0.0%2C+Sandboxed+%3D+yes%2C+Optimus+%3D+no%2C+AMD+switchable+%3D+no%2C+Reset+notification+strategy+%3D+0x8252%2C+ErrorMessage+%3D+BindToCurrentSequence+failed%3A+.&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40luma.gl%2Fwebgl%2Fdist%2Fadapter%2Fwebgl-device.js&methodName=new+WebGLDevice&arguments=&lineNumber=153&column=109 → pending (?ms, ?B)
[2026-05-31T06:12:49.524Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Failed+to+create+WebGL+context%3A+Could+not+create+a+WebGL+context%2C+VENDOR+%3D+0xffff%2C+DEVICE+%3D+0xffff%2C+GL_VENDOR+%3D+Google+Inc.+%28Google%29%2C+GL_RENDERER+%3D+ANGLE+%28Google%2C+Vulkan+1.3.0+%28SwiftShader+Device+%28LLVM+10.0.0%29+%280x0000C0DE%29%29%2C+SwiftShader+driver-5.0.0%29%2C+GL_VERSION+%3D+5.0.0%2C+Sandboxed+%3D+yes%2C+Optimus+%3D+no%2C+AMD+switchable+%3D+no%2C+Reset+notification+strategy+%3D+0x8252%2C+ErrorMessage+%3D+BindToCurrentSequence+failed%3A+.&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40luma.gl%2Fwebgl%2Fdist%2Fadapter%2Fwebgl-adapter.js&methodName=WebGLAdapter.create&arguments=&lineNumber=93&column=28 → pending (?ms, ?B)
[2026-05-31T06:12:49.524Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Failed+to+create+WebGL+context%3A+Could+not+create+a+WebGL+context%2C+VENDOR+%3D+0xffff%2C+DEVICE+%3D+0xffff%2C+GL_VENDOR+%3D+Google+Inc.+%28Google%29%2C+GL_RENDERER+%3D+ANGLE+%28Google%2C+Vulkan+1.3.0+%28SwiftShader+Device+%28LLVM+10.0.0%29+%280x0000C0DE%29%29%2C+SwiftShader+driver-5.0.0%29%2C+GL_VERSION+%3D+5.0.0%2C+Sandboxed+%3D+yes%2C+Optimus+%3D+no%2C+AMD+switchable+%3D+no%2C+Reset+notification+strategy+%3D+0x8252%2C+ErrorMessage+%3D+BindToCurrentSequence+failed%3A+.&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40luma.gl%2Fcore%2Fdist%2Fadapter%2Fluma.js&methodName=async+Luma.createDevice&arguments=&lineNumber=69&column=16 → pending (?ms, ?B)
[2026-05-31T06:12:49.545Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Failed+to+create+WebGL+context%3A+Could+not+create+a+WebGL+context%2C+VENDOR+%3D+0xffff%2C+DEVICE+%3D+0xffff%2C+GL_VENDOR+%3D+Google+Inc.+%28Google%29%2C+GL_RENDERER+%3D+ANGLE+%28Google%2C+Vulkan+1.3.0+%28SwiftShader+Device+%28LLVM+10.0.0%29+%280x0000C0DE%29%29%2C+SwiftShader+driver-5.0.0%29%2C+GL_VERSION+%3D+5.0.0%2C+Sandboxed+%3D+yes%2C+Optimus+%3D+no%2C+AMD+switchable+%3D+no%2C+Reset+notification+strategy+%3D+0x8252%2C+ErrorMessage+%3D+BindToCurrentSequence+failed%3A+.&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40luma.gl%2Fengine%2Fdist%2Fanimation-loop%2Fanimation-loop.js&methodName=async+AnimationLoop._initDevice&arguments=&lineNumber=345&column=23 → pending (?ms, ?B)
[2026-05-31T06:12:49.549Z] GET http://localhost:3000/__nextjs_original-stack-frame?isServer=false&isEdgeServer=false&isAppDirectory=true&errorMessage=Error%3A+Failed+to+create+WebGL+context%3A+Could+not+create+a+WebGL+context%2C+VENDOR+%3D+0xffff%2C+DEVICE+%3D+0xffff%2C+GL_VENDOR+%3D+Google+Inc.+%28Google%29%2C+GL_RENDERER+%3D+ANGLE+%28Google%2C+Vulkan+1.3.0+%28SwiftShader+Device+%28LLVM+10.0.0%29+%280x0000C0DE%29%29%2C+SwiftShader+driver-5.0.0%29%2C+GL_VERSION+%3D+5.0.0%2C+Sandboxed+%3D+yes%2C+Optimus+%3D+no%2C+AMD+switchable+%3D+no%2C+Reset+notification+strategy+%3D+0x8252%2C+ErrorMessage+%3D+BindToCurrentSequence+failed%3A+.&file=webpack-internal%3A%2F%2F%2F%28app-pages-browser%29%2F.%2Fnode_modules%2F%40luma.gl%2Fengine%2Fdist%2Fanimation-loop%2Fanimation-loop.js&methodName=async+AnimationLoop.start&arguments=&lineNumber=113&column=17 → pending (?ms, ?B)
[2026-05-31T06:12:51.474Z] GET http://localhost:3000/?_rsc=1p60s → pending (?ms, ?B)
